Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764004577.984711,-2,-3,-1,-1,-2,0,-2,1,REST
1764004577.9986954,-3,-1,-1,-1,0,12,-1,1,REST
1764004578.0129066,-2,2,0,-1,2,-1,-1,0,REST
1764004578.021764,1,-2,-1,-1,-3,-1,1,0,REST
1764004578.044383,-2,1,-3,0,0,-3,-2,-1,REST
1764004578.058649,0,-1,-1,-1,-3,-2,-1,-1,REST
1764004578.072891,-2,1,-1,-1,-1,0,3,-2,REST
1764004578.0818415,-2,-2,-2,0,0,-2,1,0,REST
1764004578.1043596,-1,0,-3,0,-2,-4,-5,-1,REST
1764004578.1185565,-1,-2,0,-3,-2,-2,0,-2,REST
1764004578.1253426,-1,-1,0,0,-1,1,-1,-1,REST
1764004578.1417274,0,-3,0,-1,2,0,-2,-1,REST
1764004578.1644394,-3,0,-2,-2,-2,-4,-4,-1,REST
1764004578.1798213,-2,-3,-1,-1,-1,2,2,-1,REST
1764004578.1871197,-2,1,-1,0,-1,0,-1,-1,REST
1764004578.2017949,2,1,1,0,-1,-4,-1,0,REST
1764004578.224468,0,1,2,0,0,-6,-1,0,REST
1764004578.238763,-2,1,-1,-3,0,0,-2,-1,REST
1764004578.2456846,-1,-1,-2,0,-1,-2,1,-1,REST
1764004578.2622018,0,-1,-2,-2,0,0,-1,-3,REST
1764004578.2843869,-2,-4,0,-2,-2,0,1,0,REST
1764004578.2983782,0,0,-1,0,-1,-3,-2,1,REST
1764004578.3069654,-1,-2,-3,-1,-3,4,2,0,REST
1764004578.3219447,-2,-1,-1,-1,-1,1,-1,-1,REST
1764004578.3445773,2,0,1,1,-1,2,0,-2,REST
1764004578.358693,-2,1,-2,0,-2,-4,-2,-2,REST
1764004578.3655436,-1,0,1,0,-1,-2,-3,-1,REST
1764004578.3821547,-5,-1,-1,-1,-1,-1,2,-1,REST
1764004578.411889,-2,-2,1,1,-5,-22,-4,-2,REST
1764004578.4180567,-1,-2,-2,-3,0,5,-1,1,REST
1764004578.4268832,-1,3,0,3,0,-9,0,0,REST
1764004578.4417646,-1,0,-1,-2,-1,3,1,1,REST
1764004578.4648046,-1,-2,0,0,-1,2,-4,0,REST
1764004578.4782133,-1,0,-2,-2,-2,2,1,-1,REST
1764004578.492953,-1,-2,-1,-1,-2,-1,-2,-2,REST
1764004578.5019176,-2,-4,0,-3,0,4,1,-3,REST
1764004578.5245888,2,0,-3,-1,-1,-2,-4,0,REST
1764004578.5380497,-4,-3,-3,-3,1,2,3,-1,REST
1764004578.5470052,-3,-3,-2,-1,-7,-18,-5,-2,REST
1764004578.5618832,1,0,0,2,-1,-3,1,-4,REST
1764004578.5844903,3,-3,0,2,2,-3,-2,-2,REST
1764004578.5979545,-1,-2,-2,-2,-1,1,-3,0,REST
1764004578.614697,-1,0,0,-1,1,2,-1,-3,REST
1764004578.6218958,-3,2,0,-4,-2,-1,0,-1,REST
1764004578.6445963,0,-1,0,1,0,-2,-1,-1,REST
1764004578.658246,-1,-2,-1,-3,-1,-2,-3,-1,REST
1764004578.6670177,0,-3,-1,-1,0,2,-1,-2,REST
1764004578.681923,-3,0,-2,-1,-2,1,0,0,REST
1764004578.7048397,-1,-1,-2,2,0,-2,1,-1,REST
1764004578.7270317,-1,1,-2,-1,-1,-3,-3,-1,REST
1764004578.7423742,-1,-3,0,0,-2,-1,-1,-1,REST
1764004578.764731,-1,-2,-2,-1,0,0,-1,1,REST
1764004578.7782028,0,0,1,-2,0,0,-2,-1,REST
1764004578.7871273,-2,0,-2,-2,0,0,-1,-2,REST
1764004578.8094378,-2,-1,-1,-1,0,0,0,-1,REST
1764004578.8245678,0,0,-1,0,-1,-1,-4,-2,REST
1764004578.8468025,-1,-2,-2,-1,0,1,-3,-2,REST
1764004578.8617575,0,0,-2,-3,-3,-1,0,0,REST
1764004578.8845491,-1,-2,0,-1,-2,1,1,0,REST
1764004578.9067543,0,-1,-2,-2,-1,2,-1,1,REST
1764004578.9294574,1,0,-1,1,-2,-4,-1,-2,REST
1764004578.9445488,-3,-2,0,0,-2,3,1,0,REST
1764004578.9670286,-3,0,-1,-2,0,1,0,1,REST
1764004578.9822702,0,-1,-2,-1,-2,-2,0,-2,REST
1764004579.011907,0,0,-2,0,-3,-5,0,-1,REST
1764004579.0268364,-1,-1,1,-1,-2,-4,0,1,REST
1764004579.0411782,0,-2,-2,2,-1,0,0,-3,REST
1764004579.0478442,-1,0,1,-1,-1,-5,-3,0,REST
1764004579.0642614,1,0,-1,0,-2,0,1,0,REST
1764004579.0867927,-1,-1,-1,-3,2,-1,-3,-1,REST
1764004579.1011605,-3,-2,-1,-2,-1,1,-2,-2,REST
1764004579.1079195,-2,-2,-2,0,0,-2,-3,-2,REST
1764004579.1244779,-1,-2,-2,-1,-1,2,2,-2,REST
1764004579.1468406,2,1,0,-1,-1,-1,-3,0,REST
1764004579.1611307,-1,1,0,0,-1,-3,-2,-1,REST
1764004579.167952,-1,-1,-1,-3,-4,2,0,1,REST
1764004579.184554,-2,-1,0,1,-1,1,-4,-2,REST
1764004579.2068086,-1,-2,-1,-5,-3,-6,1,0,REST
1764004579.2211452,0,-1,-1,0,1,0,-1,-1,REST
1764004579.227857,1,-1,-2,-3,1,0,-2,2,REST
1764004579.2442937,0,-2,0,-1,-3,-1,1,-1,REST
1764004579.2672033,-2,0,-2,0,2,0,-2,0,REST
1764004579.2729275,-1,-1,1,0,-1,-3,-1,-2,REST
1764004579.2811518,-4,0,-2,1,0,0,0,-4,REST
1764004579.287947,0,-2,-1,-1,-2,-2,1,-3,REST
1764004579.3044684,-1,1,-1,1,1,11,2,-1,REST
1764004579.3267922,0,-1,0,-1,-2,0,-2,1,REST
1764004579.3404279,-2,-1,1,-1,-3,-8,-3,-1,REST
1764004579.3494658,-2,-2,-1,-2,-1,-2,-2,0,REST
1764004579.3645198,2,-2,-2,-3,0,-2,-3,-1,REST
1764004579.3867807,-2,-1,-4,-2,-1,3,3,1,REST
1764004579.4004204,0,-2,0,-1,-1,-9,-1,1,REST
