Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8
1763470995.5683541,0,-2,-2,-3,-2,-1,-1,-1
1763470995.5767052,-1,-2,-2,-3,-5,-2,0,-1
1763470995.5835989,0,-2,-2,-1,1,-1,-1,1
1763470995.5997946,0,0,-2,-3,0,0,-1,-1
1763470995.622288,0,-3,-3,-2,2,-1,0,-1
1763470995.6366057,-2,-3,-4,1,-1,-1,-3,0
1763470995.64341,-2,-1,-1,-2,-2,-1,-2,-3
1763470995.6598923,-1,-3,-2,-4,-1,-1,-2,-1
1763470995.6823766,1,2,-2,-3,-1,0,-1,0
1763470995.6959057,-1,1,0,-7,-2,0,-1,-1
1763470995.7048461,0,0,0,0,0,-1,-1,-1
1763470995.71975,-1,0,1,1,-2,-2,-1,-2
1763470995.7422345,-1,-2,0,-2,0,-2,0,-2
1763470995.7563572,-3,-1,0,2,-2,0,0,0
1763470995.7650392,-2,-2,-2,7,-1,-2,0,-2
1763470995.779711,-1,0,-1,-1,-2,-1,-2,0
1763470995.8022013,0,-1,1,4,1,2,0,-2
1763470995.8159173,-1,-2,-3,-2,-1,0,0,0
1763470995.8249333,-2,-3,-3,-11,-1,0,-2,-2
1763470995.8397152,-1,0,-3,-3,0,-2,-1,-1
1763470995.8624413,-2,-2,-5,1,-1,-4,0,0
1763470995.8760707,0,-1,1,0,0,-1,-1,0
1763470995.8848581,-1,-4,-3,-2,-1,0,0,-1
1763470995.8998063,0,-1,0,0,-1,-1,-2,-2
1763470995.9222307,-1,0,-2,-6,-2,0,-2,1
1763470995.9360452,-1,-3,0,0,-1,2,1,0
1763470995.9448829,0,-1,-3,-2,-1,-2,-1,0
1763470995.9598675,-1,0,3,1,0,-2,0,-1
1763470995.9822326,-2,-1,0,0,0,0,-2,-1
1763470995.9960032,-1,0,0,-1,0,-2,0,-1
1763470996.0110462,0,0,-1,-2,-3,0,-1,0
1763470996.0198872,-1,-3,-9,-5,-2,-2,-2,-1
1763470996.0422964,-2,0,0,0,-2,-1,-1,-1
1763470996.072155,-2,0,0,0,-1,1,-1,0
1763470996.0797515,-2,-1,-2,1,-2,-2,-2,-2
1763470996.1022947,0,-3,-2,-4,-6,-2,0,0
1763470996.115899,-1,0,0,-2,-1,-2,0,-1
1763470996.1247692,-1,-1,-2,-12,-2,0,-1,-2
1763470996.1397698,0,0,1,-2,-1,0,-1,-1
1763470996.1623034,-2,0,0,0,0,-3,-3,-1
