Timestamp,CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,State
1764005279.0718627,-2,0,0,2,0,-2,-2,-2,REST
1764005279.080656,0,-1,-1,-1,-1,0,-1,-1,REST
1764005279.0953066,-1,0,0,0,0,-1,0,1,REST
1764005279.1016438,1,-1,-1,-2,-3,-3,-3,-2,REST
1764005279.1167786,0,0,-2,-1,-1,-3,-1,-1,REST
1764005279.1265466,-1,-1,-2,1,1,0,-1,-1,REST
1764005279.140131,-2,-2,-1,0,-3,-2,-1,-1,REST
1764005279.154609,-2,-1,-1,-1,-1,0,0,0,REST
1764005279.161417,-1,1,-2,-3,0,2,1,-1,REST
1764005279.1779358,-1,0,-2,-1,1,-2,-1,-1,REST
1764005279.200157,1,0,0,-1,-2,0,0,-2,REST
1764005279.2146826,-2,2,-1,1,-1,-2,-3,-1,REST
1764005279.221223,0,0,0,-2,-2,0,0,-1,REST
1764005279.245573,-2,-2,-2,-3,-1,1,-1,0,REST
1764005279.2766695,-1,-2,-1,-1,-1,0,-1,-2,REST
1764005279.2829144,1,-1,-1,0,-1,-1,-2,-2,REST
1764005279.297928,-2,-2,-1,-1,-1,-2,-1,-1,REST
1764005279.3208146,1,-2,-2,-2,0,0,0,1,REST
1764005279.3505378,-2,-1,0,2,0,-2,0,0,REST
1764005279.3580396,-1,-2,0,-1,-2,-1,-1,-1,REST
1764005279.3805013,-1,1,-2,-1,-1,-1,-2,-2,REST
1764005279.4027798,0,-1,0,0,1,-2,-2,-2,REST
1764005279.4169788,0,-2,0,-2,-1,0,-1,-1,REST
1764005279.4255564,-1,-1,0,-3,1,-1,0,-2,REST
1764005279.440533,-2,0,0,-2,-2,-2,-1,1,REST
1764005279.4541605,-2,-1,0,-2,-2,-1,0,0,REST
1764005279.4704094,-1,-1,0,-1,-1,0,1,-1,REST
1764005279.477674,-1,1,-2,0,-2,1,-1,0,REST
1764005279.5003777,-2,-1,-1,0,-1,-2,-2,-3,REST
1764005279.5137832,1,0,-2,-1,0,0,0,-4,REST
